product_id,product_name,category,unit_price,ingestion_timestamp,run_id
P0001,Classic Headphones 1,Electronics,3720.67,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0002,Premium Bottle 2,Home & Kitchen,740.71,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0003,Classic Backpack 3,Clothing,3716.31,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0004,Comfort Headphones 4,Grocery,2972.94,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0005,Classic Headphones 5,Beauty,513.79,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0006,Premium Lamp 6,Electronics,3029.99,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0007,Comfort Bottle 7,Home & Kitchen,3594.3,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0008,Comfort Coffee 8,Clothing,1141.18,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0009,Comfort T-Shirt 9,Grocery,4056.68,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
P0010,Classic Notebook 10,Beauty,4038.81,2026-08-08T20:09:31.962442+00:00,run_20260808_200931
